/home/vyshah/Projects/codechecker/Hilo/C++/Annotator/PointAnimation.h,portability,unnecessaryQualification,The extra qualification 'PointAnimation::' is unnecessary and is considered an error by many compilers.
/home/vyshah/Projects/codechecker/Hilo/C++/Annotator/ImageEditor.h,portability,unnecessaryQualification,The extra qualification 'ImageEditorHandler::' is unnecessary and is considered an error by many compilers.
/home/vyshah/Projects/codechecker/Hilo/C++/Annotator/ImageEditor.cpp,warning,uninitMemberVar,Member variable 'ImageEditorHandler::m_prevDrawingOperationType' is not initialized in the constructor.
/home/vyshah/Projects/codechecker/Hilo/C++/Annotator/ImageEditor.cpp,warning,uninitMemberVar,Member variable 'ImageEditorHandler::m_startClipping' is not initialized in the constructor.
/home/vyshah/Projects/codechecker/Hilo/C++/Annotator/ImageEditor.cpp,warning,uninitMemberVar,Member variable 'ImageEditorHandler::m_totalFramesRendered' is not initialized in the constructor.
/home/vyshah/Projects/codechecker/Hilo/C++/Browser/AsyncLoader/AsyncLoader.cpp,performance,redundantAssignment,Variable 'tempHr' is reassigned a value before the old one has been used.
/home/vyshah/Projects/codechecker/Hilo/C++/Browser/AsyncLoader/AsyncLoaderLayoutManager.cpp,warning,selfAssignment,Redundant assignment of 'm_currentPageStart' to itself.
/home/vyshah/Projects/codechecker/Hilo/C++/Browser/ThumbnailInfo.h,performance,redundantAssignment,Variable 'hr' is reassigned a value before the old one has been used.
/home/vyshah/Projects/codechecker/Hilo/C++/Browser/BrowserApplication.cpp,warning,uninitMemberVar,Member variable 'BrowserApplication::m_carouselPaneIndex' is not initialized in the constructor.
/home/vyshah/Projects/codechecker/Hilo/C++/Browser/BrowserApplication.cpp,warning,uninitMemberVar,Member variable 'BrowserApplication::m_mediaPaneIndex' is not initialized in the constructor.
/home/vyshah/Projects/codechecker/Hilo/C++/Browser/ThumbnailLayoutInterface.h,warning,uninitMemberVar,Member variable 'ThumbnailCell::selectionState' is not initialized in the constructor.
/home/vyshah/Projects/codechecker/Hilo/C++/Browser/CarouselPane.cpp,warning,uninitMemberVar,Member variable 'CarouselPaneMessageHandler::m_totalFramesRendered' is not initialized in the constructor.
/home/vyshah/Projects/codechecker/Hilo/C++/Browser/CarouselThumbnailAnimation.cpp,performance,redundantAssignment,Variable 'hr' is reassigned a value before the old one has been used.
